1,Chicago,city,41.8370,-87.6849
2,Joliet,city,41.5169,-88.1480
3,Rockford,city,42.2593,-89.0635
4,Springfield,city,39.7911,-89.6446
5,Peoria,city,40.7516,-89.6172
6,Aurora,city,41.7635,-88.2901
7,Decatur,city,39.8560,-88.9337
8,Naperville,city,41.7492,-88.1620
9,Elgin,city,42.0390,-88.3257
10,Godfrey,village,38.9529,-90.2225
11,Bloomington,city,40.4758,-88.9699
12,Barrington Hills,village,42.1386,-88.2030
13,Plainfield,village,41.6303,-88.2453
14,Bolingbrook,village,41.6875,-88.1062
15,Waukegan,city,42.3694,-87.8709
16,Belleville,city,38.5160,-89.9898
17,Champaign,city,40.1141,-88.2746
18,Homer Glen,village,41.6052,-87.9524
19,Orland Park,village,41.6081,-87.8593
20,East Peoria,city,40.6734,-89.5418
21,Hoffman Estates,village,42.0643,-88.1446
22,Yorkville,city,41.6617,-88.4286
23,Edwardsville,city,38.7908,-89.9886
24,Schaumburg,village,42.0289,-88.0838
25,Romeoville,village,41.6279,-88.1012
26,Granite City,city,38.7293,-90.1255
27,Crystal Lake,city,42.2332,-88.3344
28,Normal,town,40.5201,-88.9922
29,Danville,city,40.1426,-87.6107
30,Galesburg,city,40.9502,-90.3766
31,Rock Island,city,41.4694,-90.5853
32,DeKalb,city,41.9282,-88.7476
33,Carbondale,city,37.7221,-89.2237
34,Lake Forest,city,42.2353,-87.8573
35,Campton Hills,village,41.9502,-88.4170
36,Moline,city,41.4823,-90.4934
37,Arlington Heights,village,42.0974,-87.9817
38,Channahon,village,41.4228,-88.2630
39,Loves Park,city,42.3378,-88.9986
40,Tinley Park,village,41.5686,-87.8042
41,New Lenox,village,41.5100,-87.9700
42,Quincy,city,39.9337,-91.3793
43,Oswego,village,41.6832,-88.3388
44,O'Fallon,city,38.6000,-89.9154
45,Cahokia Heights,city,38.5721,-90.1553
46,Bartlett,village,41.9606,-88.1777
47,Pekin,city,40.5688,-89.6251
48,Alton,city,38.9039,-90.1512
49,Frankfort,village,41.5070,-87.8710
50,Collinsville,city,38.6757,-90.0058
51,West Chicago,city,41.8945,-88.2211
52,Kankakee,city,41.1017,-87.8637
53,Ottawa,city,41.3540,-88.8234
54,McHenry,city,42.3362,-88.2917
55,Mount Vernon,city,38.3142,-88.9175
56,Huntley,village,42.1608,-88.4355
57,Downers Grove,village,41.7950,-88.0211
58,East Moline,city,41.5199,-90.3879
59,Glenview,village,42.0852,-87.8274
60,St. Charles,city,41.9194,-88.3107
61,Marion,city,37.7344,-88.9412
62,Des Plaines,city,42.0344,-87.9011
63,Madison,city,38.6863,-90.1018
64,Palatine,village,42.1165,-88.0444
65,Wilmington,city,41.3194,-88.1602
66,East St. Louis,city,38.6164,-90.1305
67,Rochelle,city,41.9191,-89.0637
68,Elwood,village,41.4181,-88.1172
69,Lake Carroll,cdp,42.1706,-89.8647
70,Gurnee,village,42.3701,-87.9368
71,LaSalle,city,41.3352,-89.0972
72,Northbrook,village,42.1287,-87.8352
73,Woodstock,city,42.3095,-88.4353
74,Morton,village,40.6137,-89.4668
75,Machesney Park,village,42.3677,-89.0245
76,Belvidere,city,42.2654,-88.8878
77,Algonquin,village,42.1595,-88.3219
78,Shiloh,village,38.5492,-89.9131
79,Morris,city,41.3802,-88.4243
80,Long Grove,village,42.1950,-88.0110
81,Highland Park,city,42.1824,-87.8108
82,Freeport,city,42.2890,-89.6343
83,Urbana,city,40.1101,-88.1973
84,Lockport,city,41.5910,-88.0297
85,Elk Grove Village,village,42.0058,-87.9930
86,Fairview Heights,city,38.5953,-90.0047
87,Wheaton,city,41.8568,-88.1081
88,Sparta,city,38.1394,-89.7305
89,The Galena Territory,cdp,42.3937,-90.3250
90,Batavia,city,41.8477,-88.3110
91,Mundelein,village,42.2734,-88.0162
92,Grayslake,village,42.3408,-88.0336
93,Effingham,city,39.1207,-88.5509
94,University Park,village,41.4469,-87.7130
95,Mount Prospect,village,42.0642,-87.9374
96,Macomb,city,40.4701,-90.6831
97,Old Mill Creek,village,42.4331,-87.9822
98,Jacksonville,city,39.7292,-90.2322
99,Columbia,city,38.4581,-90.2160
100,Sugar Grove,village,41.7686,-88.4489
101,Chicago Heights,city,41.5107,-87.6341
102,Glen Carbon,village,38.7582,-89.9831
103,Peru,city,41.3579,-89.1394
104,Taylorville,city,39.5627,-89.3083
105,Mattoon,city,39.4778,-88.3622
106,Roscoe,village,42.4256,-89.0095
107,Elmhurst,city,41.8970,-87.9437
108,Lake in the Hills,village,42.1794,-88.3155
109,Lombard,village,41.8738,-88.0155
110,Sycamore,city,41.9967,-88.6776
111,Geneva,city,41.8821,-88.3295
112,Skokie,village,42.0360,-87.7400
113,Hampshire,village,42.1156,-88.5052
114,Montgomery,village,41.7210,-88.3581
115,Pontoon Beach,village,38.7218,-90.0636
116,Zion,city,42.4599,-87.8511
117,Wadsworth,village,42.4507,-87.9251
118,Bull Valley,village,42.3235,-88.3609
119,Addison,village,41.9308,-88.0090
120,Mahomet,village,40.1901,-88.3895
121,Herrin,city,37.7984,-89.0306
122,Mascoutah,city,38.5181,-89.8000
123,Woodridge,village,41.7374,-88.0441
124,Buffalo Grove,village,42.1660,-87.9618
125,Minooka,village,41.4476,-88.2842
126,Dixon,city,41.8433,-89.4775
127,Crete,village,41.4405,-87.6245
128,Olive Branch,cdp,37.1837,-89.3495
129,Bourbonnais,village,41.1830,-87.8785
130,Matteson,village,41.5089,-87.7460
131,Carol Stream,village,41.9203,-88.1332
132,Charleston,city,39.4848,-88.1776
133,Spring Grove,village,42.4507,-88.2402
